match_number,game_number,agent_a,agent_b,player_1_agent,player_2_agent,winner_player,winning_agent,turns_played,player_1_attacks,player_1_successful_attacks,player_1_armies_lost,player_1_territories_captured,player_1_decisions,player_1_decision_time,player_1_simulations,player_2_attacks,player_2_successful_attacks,player_2_armies_lost,player_2_territories_captured,player_2_decisions,player_2_decision_time,player_2_simulations
1,1,Random Agent,Rule-Based Agent,Random Agent,Rule-Based Agent,Player 1,Random Agent,99,37,25,38,20,111,0.0005286001251079142,0,45,19,58,17,107,0.0005962005234323442,0
1,2,Random Agent,Rule-Based Agent,Rule-Based Agent,Random Agent,Player 2,Random Agent,8,6,1,13,0,12,6.410019705072045e-05,0,5,5,2,3,12,6.759993266314268e-05,0
1,3,Random Agent,Rule-Based Agent,Random Agent,Rule-Based Agent,Player 1,Random Agent,29,14,9,12,8,36,0.00011530000483617187,0,16,6,23,5,32,0.00011630001245066524,0
1,4,Random Agent,Rule-Based Agent,Rule-Based Agent,Random Agent,,Draw,100,50,25,57,23,113,0.00041079986840486526,0,39,26,42,24,112,0.0003479002043604851,0
1,5,Random Agent,Rule-Based Agent,Random Agent,Rule-Based Agent,,Draw,100,44,23,50,21,123,0.000564300047699362,0,51,23,56,21,114,0.00044250034261494875,0
1,6,Random Agent,Rule-Based Agent,Rule-Based Agent,Random Agent,,Draw,100,50,22,55,17,111,0.0003376003005541861,0,41,20,45,16,120,0.00027060043066740036,0
1,7,Random Agent,Rule-Based Agent,Random Agent,Rule-Based Agent,Player 1,Random Agent,89,47,25,45,19,124,0.0004654998192563653,0,41,18,53,16,100,0.0005716001614928246,0
1,8,Random Agent,Rule-Based Agent,Rule-Based Agent,Random Agent,,Draw,100,47,24,56,24,109,0.0006463999743573368,0,54,29,52,24,133,0.0006196994800120592,0
1,9,Random Agent,Rule-Based Agent,Random Agent,Rule-Based Agent,Player 2,Rule-Based Agent,10,8,1,14,0,17,7.300020661205053e-05,0,5,5,3,3,12,0.00015870004426687956,0
1,10,Random Agent,Rule-Based Agent,Rule-Based Agent,Random Agent,,Draw,100,53,23,57,20,118,0.00049879978178069,0,39,22,41,21,118,0.0004070999566465616,0
1,11,Random Agent,Rule-Based Agent,Random Agent,Rule-Based Agent,,Draw,100,41,20,53,14,133,0.0005958997644484043,0,44,21,52,16,119,0.0007591997273266315,0
1,12,Random Agent,Rule-Based Agent,Rule-Based Agent,Random Agent,,Draw,100,50,26,56,21,115,0.0006038995343260467,0,38,25,43,22,121,0.0004832000704482198,0
1,13,Random Agent,Rule-Based Agent,Random Agent,Rule-Based Agent,Player 1,Random Agent,99,44,27,43,25,117,0.00040270009776577353,0,50,23,58,22,109,0.00035060010850429535,0
1,14,Random Agent,Rule-Based Agent,Rule-Based Agent,Random Agent,Player 1,Rule-Based Agent,45,22,14,23,12,52,0.0002557999105192721,0,24,12,31,9,59,0.00018900027498602867,0
1,15,Random Agent,Rule-Based Agent,Random Agent,Rule-Based Agent,,Draw,100,41,29,46,19,127,0.0007346000638790429,0,41,24,56,19,116,0.0004371004179120064,0
1,16,Random Agent,Rule-Based Agent,Rule-Based Agent,Random Agent,,Draw,100,46,23,56,22,113,0.0003526006476022303,0,45,27,49,22,124,0.0002817001077346504,0
1,17,Random Agent,Rule-Based Agent,Random Agent,Rule-Based Agent,Player 1,Random Agent,63,31,18,30,14,79,0.00023539992980659008,0,33,12,40,11,70,0.0002136999974027276,0
1,18,Random Agent,Rule-Based Agent,Rule-Based Agent,Random Agent,Player 1,Rule-Based Agent,37,22,12,22,10,46,0.00025969964917749166,0,22,11,27,7,48,0.0002722002100199461,0
